path: /Users/andreasimioni/Desktop/parallelComputing/mid_term_BIGRAMS_TRIGRAMS/TextBigrams-Trigrams/Java/sample/text50KB.txt
key: mer , value: 12
key: meu , value: 13
key: met , value: 12
key: 1pe , value: 7
key: due , value: 6
key: dun , value: 6
key: dup , value: 6
key: dur , value: 42
key: duz , value: 6
key: dve , value: 18
key: zad , value: 18
key: zaf , value: 12
key: zal , value: 13
key: zan , value: 12
key: zao , value: 6
key: zar , value: 6
key: zat , value: 31
key: dwa , value: 6
key: zaz , value: 6
key: dwi , value: 6
key: zba , value: 6
key: mia , value: 6
key: mic , value: 13
key: iaa , value: 6
key: mid , value: 12
key: mig , value: 19
key: iac , value: 12
key: iab , value: 7
key: iae , value: 6
key: iad , value: 6
key: iag , value: 12
key: iaf , value: 6
key: mil , value: 6
key: mio , value: 12
key: min , value: 36
key: iam , value: 54
key: ial , value: 36
key: mip , value: 6
key: mis , value: 18
key: ian , value: 60
key: mit , value: 30
key: iap , value: 12
key: ias , value: 24
key: iar , value: 12
key: iau , value: 7
key: iat , value: 115
key: iav , value: 18
key: miz , value: 6
key: uzi , value: 6
key: ibe , value: 38
key: dya , value: 6
key: ibi , value: 31
key: dye , value: 6
key: ibm , value: 6
key: àma , value: 6
key: ibr , value: 12
key: ibu , value: 6
key: dys , value: 6
key: ica , value: 128
key: icb , value: 6
key: ice , value: 74
key: ici , value: 24
key: ich , value: 49
key: ick , value: 6
key: icl , value: 18
key: ico , value: 122
key: zea , value: 6
key: ics , value: 13
key: icr , value: 12
key: zec , value: 6
key: zei , value: 6
key: zep , value: 6
key: ida , value: 36
key: ide , value: 68
key: idi , value: 60
key: ido , value: 12
key: iès , value: 12
key: idu , value: 18
key: qua , value: 24
key: que , value: 73
key: mma , value: 18
key: s7e , value: 6
key: qui , value: 42
key: iea , value: 12
key: iee , value: 7
key: mmi , value: 24
key: ied , value: 12
key: ief , value: 6
key: iei , value: 12
key: iel , value: 6
key: ieo , value: 12
key: ien , value: 30
key: ies , value: 12
key: ier , value: 24
key: iet , value: 19
key: àpr , value: 6
key: ifa , value: 7
key: iff , value: 13
key: s8r , value: 6
key: o20 , value: 12
key: ifi , value: 49
key: ifu , value: 12
key: moa , value: 6
key: mod , value: 42
key: ige , value: 6
key: igi , value: 19
key: mom , value: 6
key: mol , value: 42
key: mon , value: 7
key: igl , value: 19
key: mop , value: 6
key: mos , value: 6
key: mor , value: 6
key: mou , value: 6
key: mot , value: 18
key: zia , value: 12
key: igu , value: 6
key: vaa , value: 6
key: zie , value: 12
